"['cir_0.310.png', 31.0, 0.51300000000000001, 15.903, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.495, 13.860000000000001, 1, 0]","['sq_0.100.png', 10.0, 0.50800000000000001, 5.0800000000000001, 1, 0]","['cir_0.100.png', 10.0, 0.501, 5.0099999999999998, 1, 0]","['cir_0.190.png', 19.0, 0.502, 9.5380000000000003, 1, 0]","['sq_0.220.png', 22.0, 0.49199999999999999, 10.824, 1, 0]"
"['sq_0.250.png', 25.0, 0.496, 12.4, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.50700000000000001, 14.196000000000002, 1, 0]","['sq_0.280.png', 28.000000000000004, 0.51700000000000002, 14.476000000000003, 1, 0]","['sq_0.100.png', 10.0, 0.50600000000000001, 5.0600000000000005, 1, 0]","['tri_0.220.png', 22.0, 0.497, 10.933999999999999, 0, 0]","['cir_0.430.png', 43.0, 0.50900000000000001, 21.887, 1, 0]"
"['sq_0.310.png', 31.0, 0.501, 15.531000000000001, 1, 0]","['cir_0.100.png', 10.0, 0.498, 4.9800000000000004, 1, 0]","['cir_0.310.png', 31.0, 0.501, 15.531000000000001, 1, 0]","['sq_0.400.png', 40.0, 0.51200000000000001, 20.48, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.498, 13.944000000000001, 1, 0]","['sq_0.130.png', 13.0, 0.51600000000000001, 6.7080000000000002, 1, 0]"
"['cir_0.430.png', 43.0, 0.50800000000000001, 21.844000000000001, 1, 0]","['cir_0.160.png', 16.0, 0.495, 7.9199999999999999, 1, 0]","['sq_0.250.png', 25.0, 0.49199999999999999, 12.300000000000001, 1, 0]","['tri_0.370.png', 37.0, 0.49199999999999999, 18.204000000000001, 1, 0]","['sq_0.190.png', 19.0, 0.49399999999999999, 9.3859999999999992, 1, 0]","['tri_0.400.png', 40.0, 0.51200000000000001, 20.48, 1, 0]"
"['sq_0.310.png', 31.0, 0.499, 15.468999999999999, 1, 0]","['tri_0.250.png', 25.0, 0.495, 12.375, 1, 0]","['sq_0.370.png', 37.0, 0.502, 18.574000000000002, 1, 0]","['tri_0.310.png', 31.0, 0.5, 15.5, 1, 0]","['cir_0.280.png', 28.000000000000004, 0.51700000000000002, 14.476000000000003, 1, 0]","['cir_0.190.png', 19.0, 0.497, 9.4429999999999996, 1, 0]"
"['sq_0.340.png', 34.0, 0.501, 17.033999999999999, 1, 0]","['tri_0.250.png', 25.0, 0.51000000000000001, 12.75, 1, 0]","['tri_0.400.png', 40.0, 0.498, 19.920000000000002, 1, 0]","['cir_0.160.png', 16.0, 0.48199999999999998, 7.7119999999999997, 1, 0]","['sq_0.430.png', 43.0, 0.497, 21.370999999999999, 1, 0]","['cir_0.370.png', 37.0, 0.499, 18.463000000000001, 1, 0]"
"['cir_0.400.png', 40.0, 0.502, 20.079999999999998, 1, 0]","['cir_0.160.png', 16.0, 0.496, 7.9359999999999999, 1, 0]","['sq_0.340.png', 34.0, 0.49299999999999999, 16.762, 0, 0]","['tri_0.340.png', 34.0, 0.51700000000000002, 17.577999999999999, 1, 0]","['tri_0.280.png', 28.000000000000004, 0.51300000000000001, 14.364000000000003, 1, 0]","['cir_0.340.png', 34.0, 0.504, 17.135999999999999, 1, 0]"
"['tri_0.430.png', 43.0, 0.502, 21.585999999999999, 1, 0]","['tri_0.340.png', 34.0, 0.48899999999999999, 16.626000000000001, 1, 0]","['cir_0.400.png', 40.0, 0.49199999999999999, 19.68, 1, 0]","['tri_0.160.png', 16.0, 0.49199999999999999, 7.8719999999999999, 1, 0]","['sq_0.160.png', 16.0, 0.49099999999999999, 7.8559999999999999, 0, 0]","['cir_0.190.png', 19.0, 0.496, 9.4239999999999995, 1, 0]"
"['cir_0.310.png', 31.0, 0.49399999999999999, 15.314, 1, 0]","['cir_0.130.png', 13.0, 0.54200000000000004, 7.0460000000000003, 1, 1]","['cir_0.130.png', 13.0, 0.47199999999999998, 6.1359999999999992, 1, 1]"
"['sq_0.100.png', 10.0, 0.51100000000000001, 5.1100000000000003, 0, 0]","['tri_0.340.png', 34.0, 0.46300000000000002, 15.742000000000001, 1, 1]","['tri_0.340.png', 34.0, 0.55900000000000005, 19.006, 1, 1]"
"['sq_0.400.png', 40.0, 0.46800000000000003, 18.720000000000002, 0, 0]","['cir_0.400.png', 40.0, 0.42299999999999999, 16.919999999999998, 1, 1]","['cir_0.400.png', 40.0, 0.52400000000000002, 20.960000000000001, 1, 1]"
"['tri_0.280.png', 28.000000000000004, 0.50700000000000001, 14.196000000000002, 1, 1]","['tri_0.280.png', 28.000000000000004, 0.46999999999999997, 13.16, 1, 1]","['cir_0.160.png', 16.0, 0.45300000000000001, 7.2480000000000002, 0, 0]"
"['sq_0.400.png', 40.0, 0.46700000000000003, 18.68, 1, 1]","['cir_0.310.png', 31.0, 0.44800000000000001, 13.888, 0, 0]","['sq_0.400.png', 40.0, 0.498, 19.920000000000002, 1, 1]"
